"original_creator","creations","max_depth"
"0x3482549fca7511267c9ef7089507c0f16ea1dcc1",9490,3
"0x7284a8451d9a0e7dc62b3a71c0593ea2ec5c5638",9429,2
"0x795b83d7feb25e1f2368bf5b061ee1de7faebadd",9404,1
"0x6aa67ebaec1b31b4437741e31d48710707de44f3",9326,2
"0x0ffe7acaa02331d4372541aa6d5b146d0dfb6420",9307,2
"0x9c79dc0edd49caa9da6b704339dacedb45acbe3f",9299,2
"0x13d0c7ada3f98eec232ed7e57fefc4c300f25095",9248,1
"0xd27e58ba0530d9ac5e4767da6cc92104eee34a44",9151,2
"0x2a2a57a98a07d3ca5a46a0e1d51defffbef54e4f",9113,2
"0x681f1ba64eb4011d83c88884b5af0d4db69676d8",9041,2
"0x887085482062086932017e88bc94f0c63d1a0b09",8930,2
"0xd4d221ad5b753a6fcbb58a6c7b6b92605ca5325f",8903,2
"0x123694886dbf5ac94dda07135349534536d14caf",8822,2
"0x633b25af08349e3803ecaf2a5d7de3417f7cb167",8811,2
"0x3dd62f93593f2b6775db13b9305193a5890c7806",8801,2
"0xef51fd2f78bea8b891c9b1802bdd4272ccc3224f",8753,2
"0x43a7fda7614825cdb70297decadcfc74cdde3dd9",8659,2
"0x9fa2e35d6429ea3f09244b5d93057605a140ed24",8606,2
"0x0bb265cf65072ec09733c08f395ec9272ea220e0",8569,2
"0xc543581644db40980a323edb5c9a8f3ba335ca53",8479,2
"0x030a89694dd53bb166806f5114dc9ae7f7660140",8413,2
"0xd33814c56fdacdc7f084a5443d600ee5464452e7",8331,2
"0xb6235eaeadfa5839cda207b454d98b328dfe2f3a",8207,2
"0xfbbdec9bd33324b960195d9ff951377d41a35980",8196,2
"0x4648451b5f87ff8f0f7d622bd40574bb97e25980",8123,2
"0xa270f3ad1a7a82e6a3157f12a900f1e25bc4fbfd",8113,1
"0x706ee6cf36a4bf95ec7fe5d468571b9e9e63fbb6",8033,2
"0xe3bfcefd91e1b3d8156a02b03c0aba9ef3eb62d4",7936,2
"0x788aaa0ea8b2dcad6b4490b96a167445670fe82e",7911,1
"0x8a7e32c995d42838b3d1935838fbf450547c137f",7896,2
"0x997214ec4f289807a6677abbbd97a4cea813296a",7803,2
"0xece7ec83e23edc6d6af989182f4ffa104ad5a114",7785,2
"0xa37d9f24a6e65becd21794bacbe77f1410781824",7777,2
"0x05edb629679e13a97687e372560be6ee149476a6",7748,2
"0x947b7742c403f20e5faccdac5e092c943e7d0277",7745,2
"0x92294cf2267dc2f7681cf08dbfa3e9cab8ce2909",7644,2
"0xfa4ac96e0c2f9755cd0a38579d5b79043a71f579",7617,2
"0x016596abf1eb19de270e0409da362496b453fab2",7572,2
"0xc6160f5bc3c673ac390f11c492e8ed0d0693579a",7570,2
"0xb6ba1931e4e74fd080587688f6db10e830f810d5",7565,2
"0xd8b75eb7bd778ac0b3f5ffad69bcc2e25bccac95",7542,2
"0xc5849cf8756fe4636b9742bb939bfa9d409779e4",7542,2
"0x65f9b2e4d7aaeb40ffea8c6f5844d5ad7da257e0",7531,1
"0x4f4868f9555b7406d5e67a1f762164ef36e8db72",7525,2
"0x3e990e787a88cd4426fb3af9b90dd1d951e2cb87",7505,2
"0xd5efc2da1b4913121058972828e0f5b8a76377c0",7328,2
"0x4585b1986089c75e338498575125a70c7c92141c",7203,2
"0x1852dfd46032afa422d7791f734eeb374fe88c3b",7133,2
"0x60a31422dc7960b92708e60aeae8d0156e8b268d",7039,1
"0x890bc5691e6011f580e264065d09a7a1a6902131",7030,2
"0xa0181751bfae67ba4141e6c6d5939010d00b4d97",7003,2
"0xb94f0deba064706c11c437d1a125bc8f0b6b7a67",7002,2
"0x0ccf14983364a7735d369879603930afe10df21e",6899,2
"0xb02c6c40a798184d5e012fbb1dc698977671f8fc",6890,2
"0xcda7139d12bbcfea77747235729b677a7fab8ab4",6860,2
"0x86388554f35e69f078474b49174863238be7d58d",6794,1
"0xc419eb799543e910db5040bd3ada5cc57372e404",6779,2
"0x19248a0938c03ed52833b6c9ed1ab51feb649512",6775,2
"0x9ebf6734ebf95effb99dbe6dc5faf086ec394d94",6613,1
"0x7250abcacdf1b5e19ec216619ea2614dc2ff6b7a",6602,1
"0xf912eb31c0c7246010f6f8e206a297d6a28331fc",6449,2
"0xcc285d02384a0b20bceb2605c0e4c2b4bf579f2a",6443,2
"0x79e39f9141fe5828af29d8a3f6da91849959467b",6434,2
"0xee842f33040cc2d1ea4597ba6da152d66da6d7e5",6431,2
"0xe7ebbec0a89efd478dd72dc769be475a9f1ce50a",6427,1
"0x700f6912e5753e91ea3fae877a2374a2db1245d7",6410,1
"0xb49091108e6804d1675d32eaa02989096384208a",6388,1
"0xddad550986884040049bcb7c7db4ca3be9199636",6303,2
"0x41142d38bc7333712a9ae0dda6d1dc015c5a7815",6291,3
"0xe9eeaec75883f0e389a78e2260bfac1776df2f1d",6222,2
"0xa79d532d294396c23ca94c9377a0716f6a6384c1",6200,1
"0x7808501d56feb39533c151939e69ef1b89d30026",6156,2
"0xa55a06e887ff1189e180fb8574e7420a125db268",6083,2
"0x000099b4a4d3ceb370d3a8a6235d24e07a8c0000",6058,2
"0xbef7f919c70510072077984da961a60b789d9d06",6037,2
"0xbb6e024b9cffacb947a71991e386681b1cd1477d",6028,5
"0xb342a81d57bb9ba8b81111523cd10ea550df67f8",5984,2
"0xfdc61592e784b2e07085ee383e5c762a573d1e97",5955,1
"0x6c74fda18ea90e1c61e800dd9b4508ac782e0dc8",5948,3
"0x0e4582a65f4da7b7d5a9f0080d36b9958cc66821",5889,2
"0xe41e59b5ed5e5540014d830969c027115ca8fccb",5876,2
"0xe41e8de32a5a42d8cae3490815f3adb5ed8f56b7",5825,2
"0xf1d3c759f806f89fbc1767f8eb50802f820ee71e",5790,2
